user_id,cluster_label
2000,3
2001,2
2002,4
2003,7
2004,2
2005,3
2006,2
2007,9
2008,2
2009,2
2010,5
2011,10
2012,2
2013,6
2014,0
2015,1
2016,8
2017,1
2018,1
2019,2
2020,5
2021,6
2022,5
2023,2
2024,2
2025,3
2026,0
2027,4
2028,2
2029,2
0,2
1,2
2,2
3,0
4,2
5,7
6,2
7,4
8,6
9,4
10,2
11,2
12,1
13,2
14,0
15,2
2030,2
2031,2
2032,7
2033,4
2034,2
2035,2
2036,2
2037,8
2038,3
2039,2
2040,2
2041,2
2042,1
2043,2
2044,9
2045,0
2046,10
2047,6
2048,9
4000,9
4001,7
4002,2
4003,0
4004,1
4005,2
4006,1
4007,2
4008,9
4009,9
4010,2
4011,2
4012,6
4013,2
2049,2
2050,8
2051,2
2052,2
2053,2
2054,2
2055,2
2056,6
2057,0
2058,6
2059,2
2060,2
2061,1
2062,7
2063,10
2064,3
2065,3
2066,2
2067,1
2068,2
2069,8
2070,2
2071,0
2072,10
2073,2
2074,4
2075,10
2076,3
2077,2
2078,2
2079,9
2080,2
2081,3
2082,0
2083,6
2084,2
2085,2
2086,5
2087,0
2088,10
2089,2
2090,0
2091,10
2092,2
2093,0
2094,2
2095,2
2096,8
2097,9
2098,7
2099,10
2100,4
2101,2
2102,2
2103,0
2104,8
2105,8
2106,4
2107,2
2108,5
2109,2
2110,9
2111,3
2112,3
2113,2
2114,2
2115,2
2116,10
2117,2
2118,5
2119,2
2120,6
2121,8
2122,2
2123,6
2124,9
2125,2
2126,0
2127,2
2128,2
2129,2
2130,2
2131,3
2132,8
2133,2
2134,3
4014,0
4015,3
4016,2
4017,1
4018,2
4019,2
4020,2
4021,8
4022,1
4023,2
4024,3
4025,9
4026,0
4027,1
4028,4
4029,6
4030,5
2135,7
2136,7
2137,2
2138,8
2139,2
2140,5
2141,2
2142,2
2143,7
2144,5
2145,2
2146,9
2147,2
2148,9
2149,6
2150,2
2151,9
2152,2
2153,7
2154,1
2155,2
2156,2
2157,2
2158,4
2159,2
2160,0
2161,3
2162,7
2163,2
2164,7
2165,2
2166,3
2167,2
2168,8
2169,10
2170,2
2171,2
2172,7
2173,2
2174,1
2175,4
2176,2
2177,6
2178,2
2179,1
2180,2
2181,9
2182,4
2183,1
2184,2
2185,7
2186,3
2187,6
2188,2
2189,2
2190,8
2191,0
2192,2
2193,10
2194,2
2195,6
2196,2
2197,2
2198,9
2199,6
2200,5
2201,2
2202,5
2203,2
2204,2
2205,8
2206,2
2207,9
2208,1
2209,2
2210,5
2211,2
2212,7
2213,2
2214,2
2215,3
2216,2
2217,7
2218,3
2219,10
4031,2
4032,2
4033,6
4034,6
4035,9
4036,1
4037,5
4038,2
4039,5
4040,2
4041,2
4042,0
4043,7
4044,2
4045,1
4046,2
4047,8
4048,2
4049,2
4050,4
4051,4
4052,2
4053,0
4054,7
4055,1
4056,8
4057,2
4058,9
4059,2
4060,2
4061,2
4062,2
4063,5
4064,1
4065,2
4066,5
4067,8
4068,2
4069,4
4070,4
4071,0
4072,2
4073,9
4074,7
4075,2
4076,3
4077,2
4078,6
4079,2
4080,0
4081,2
4082,6
4083,9
4084,2
4085,7
4086,4
4087,4
4088,1
4089,3
4090,4
4091,6
4092,2
4093,9
4094,4
4095,8
4096,2
4097,2
4098,2
4099,2
4100,1
4101,3
4102,2
4103,2
4104,2
4105,9
4106,3
4107,9
4108,10
4109,8
4110,2
4111,3
4112,2
4113,6
4114,2
4115,5
4116,4
4117,2
4118,8
4119,9
4120,3
4121,9
4122,2
4123,3
4124,0
4125,4
4126,2
4127,3
4128,4
4129,8
4130,2
4131,2
4132,10
4133,2
4134,5
4135,2
2220,2
2221,2
2222,2
2223,1
2224,3
2225,2
2226,7
2227,0
2228,2
2229,2
2230,2
2231,2
2232,5
2233,2
2234,2
2235,6
2236,2
2237,3
2238,10
2239,2
2240,7
2241,9
2242,2
2243,2
2244,2
2245,3
2246,4
2247,6
2248,5
2249,3
2250,2
2251,3
2252,6
2253,2
2254,5
2255,2
2256,3
2257,0
2258,5
2259,2
2260,9
2261,6
2262,1
2263,6
2264,1
2265,1
2266,4
2267,2
2268,8
2269,2
2270,4
2271,2
2272,2
2273,2
2274,2
2275,2
2276,8
2277,2
2278,3
2279,1
2280,6
2281,1
2282,2
2283,2
2284,2
2285,0
2286,7
2287,4
2288,10
2289,4
2290,9
2291,2
2292,2
2293,0
2294,1
2295,2
2296,5
2297,2
2298,2
2299,2
2300,2
2301,2
2302,2
2303,1
2304,5
2305,10
2306,2
2307,7
2308,3
2309,2
2310,6
2311,10
2312,0
2313,9
2314,2
2315,2
2316,5
2317,2
2318,3
6000,2
6001,2
6002,0
6003,2
6004,10
6005,2
6006,0
6007,2
6008,2
6009,7
6010,8
6011,10
6012,0
6013,7
6014,0
6015,10
6016,2
6017,5
6018,2
6019,9
6020,8
6021,7
6022,2
6023,2
6024,1
6025,2
6026,2
6027,6
6028,2
6029,10
6030,2
6031,2
6032,10
6033,7
6034,10
6035,2
6036,2
6037,2
6038,2
6039,8
6040,2
6041,1
6042,0
6043,3
6044,2
6045,8
6046,2
6047,1
10000,2
10001,1
10002,2
10003,3
10004,2
10005,2
10006,2
10007,10
10008,2
10009,8
10010,2
10011,0
10012,1
10013,4
10014,8
10015,2
10016,9
10017,7
10018,4
10019,4
10020,2
10021,2
10022,2
10023,2
10024,2
10025,9
10026,1
10027,4
10028,1
10029,2
10030,4
10031,0
10032,6
10033,3
10034,3
10035,2
10036,2
10037,3
10038,2
10039,7
10040,8
10041,10
10042,2
10043,2
10044,2
10045,1
10046,4
10047,1
8000,2
8001,2
8002,4
8003,2
8004,2
8005,1
8006,3
8007,1
8008,7
8009,2
8010,2
8011,5
8012,9
8013,9
8014,2
8015,2
8016,2
8017,7
8018,3
8019,8
8020,2
8021,2
8022,9
8023,2
8024,1
8025,8
8026,2
8027,2
8028,6
8029,6
8030,5
8031,5
8032,6
8033,9
8034,2
8035,6
8036,10
8037,7
8038,1
8039,2
8040,8
8041,2
8042,10
8043,2
